collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-08-15T22:41:55Z,movie,Amsterdam,2022,6.13358,498243,tt10304142,664469,https://trakt.tv/movies/amsterdam-2022,2022-09-27,134,"mystery,comedy,drama"
2023-05-10T20:37:00Z,movie,An Officer and a Gentleman,1982,7.31079,1776,tt0084434,2623,https://trakt.tv/movies/an-officer-and-a-gentleman-1982,1982-07-28,124,"drama,romance"
2023-03-09T21:25:19Z,movie,Analyze That,2002,6.3298,5164,tt0289848,9932,https://trakt.tv/movies/analyze-that-2002,2002-12-06,96,"comedy,crime"
2023-03-09T21:25:40Z,movie,Analyze This,1999,6.97566,4813,tt0122933,9535,https://trakt.tv/movies/analyze-this-1999,1999-03-05,103,"comedy,crime"
2023-03-09T21:25:32Z,movie,Anchorman 2: The Legend Continues,2013,6.4509,77348,tt1229340,109443,https://trakt.tv/movies/anchorman-2-the-legend-continues-2013,2013-12-18,119,comedy
2023-03-09T21:25:31Z,movie,Anchorman: The Legend of Ron Burgundy,2004,7.22,4278,tt0357413,8699,https://trakt.tv/movies/anchorman-the-legend-of-ron-burgundy-2004,2004-07-09,95,comedy
2022-07-01T01:25:58Z,movie,Angel Has Fallen,2019,7.03374,268664,tt6189022,423204,https://trakt.tv/movies/angel-has-fallen-2019,2019-08-23,122,"action,thriller"
2022-07-02T01:30:44Z,movie,Angels & Demons,2009,7.02908,7917,tt0808151,13448,https://trakt.tv/movies/angels-demons-2009,2009-05-13,139,"mystery,thriller"
2023-05-10T18:53:37Z,movie,Anger Management,2003,6.4916,4786,tt0305224,9506,https://trakt.tv/movies/anger-management-2003,2003-04-11,106,comedy
2023-05-21T03:42:20Z,movie,Animal House,1978,7.50822,4221,tt0077975,8469,https://trakt.tv/movies/animal-house-1978,1978-07-28,109,comedy
2023-05-25T11:27:13Z,movie,Animal Kingdom,2010,7.11977,30313,tt1313092,44629,https://trakt.tv/movies/animal-kingdom-2010,2010-06-03,113,"crime,drama"
2022-07-02T01:29:14Z,movie,Anna,2019,7.14748,331691,tt7456310,484641,https://trakt.tv/movies/anna-2019,2019-06-21,119,"thriller,action,adventure"
2023-11-04T03:38:49Z,movie,Annihilation,2018,6.84383,220563,tt2798920,300668,https://trakt.tv/movies/annihilation-2018,2018-02-23,115,"science-fiction,horror"
2023-07-07T23:52:57Z,movie,Anonymous Killers,2020,4,590025,tt3727948,750109,https://trakt.tv/movies/anonymous-killers-2020,2020-10-06,100,"crime,horror"
2023-05-08T03:10:14Z,movie,Another 48 Hrs.,1990,6.51422,6672,tt0099044,11595,https://trakt.tv/movies/another-48-hrs-1990,1990-06-08,95,"action,comedy,crime,thriller"
2023-05-08T03:10:04Z,movie,Ant-Man,2015,7.42467,73582,tt0478970,102899,https://trakt.tv/movies/ant-man-2015,2015-07-17,117,"action,science-fiction,adventure,superhero"
2023-05-08T03:10:08Z,movie,Ant-Man and the Wasp,2018,7.20907,223262,tt5095030,363088,https://trakt.tv/movies/ant-man-and-the-wasp-2018,2018-07-06,119,"adventure,science-fiction,action,superhero"
